														SI7820
759		C15 H16 N4 O2	284.12608	283.11879	4.747	[M-H]-1	Full match	No results			No match	2	No results	9.57E+06
760		C28 H33 N O S2	463.19919	464.20647	4.436	[M+H]+1	Full match	No results			No results	0	No results	3.50E+06
761		C20 H44 N9 O P	457.3404	458.34763	3.885	[M+H]+1	Full match	No results			No results	0	No results	8.16E+05
762		C22 H45 N O3	371.33985	372.34711	4.575	[M+H]+1	Full match	No results			No results	0	No results	4.18E+06
763		C19 H41 N O3	331.3086	332.31586	7.464	[M+H]+1	Full match	No results			No results	0	No results	2.09E+05
764		C7 H15 N O5	193.09511	194.10239	10.224	[M+H]+1	Full match	No results			No results	0	No results	1.32E+07
765		C13 H30 N2 O S3	326.15096	327.15824	11.708	[M+H]+1	Full match	No results			No match	18	No results	6.56E+06
766		C14 H20 O2 S	252.11941	546.2701	4.692	[2M+ACN+H]+1	Full match	No results			No results	0	No results	5.71E+05
767		C29 H62 N5 O P3	589.4185	590.42578	3.842	[M+H]+1	Full match	No results			No results	0	No results	8.13E+05
768		C21 H43 Cl O4	394.28509	393.27781	3.881	[M-H]-1	Full match	No results			No results	0	No results	4.03E+05
769		C6 H13 Cl O6	216.04007	215.03279	12.225	[M-H]-1	Full match	No results			No match	2	No results	1.36E+05
770		C31 H64 O3	484.48543	485.49284	3.798	[M+H]+1	Full match	No results			No results	0	No results	3.37E+07
771		C6 H7 N5 O S	197.03721	198.04449	9.029	[M+H]+1	Full match	No results			No results	0	No results	1.62E+07
772		C14 H29 N O3	259.21483	260.22211	7.428	[M+H]+1	Full match	No results			No results	0	No results	2.95E+05
773		C42 H74 N2 O3 S	686.54239	687.54966	3.895	[M+H]+1	Full match	No results			No results	0	No results	9.27E+05
774		C27 H48 O2 P2	466.31179	465.30452	3.291	[M-H]-1	Full match	No results			No match	2	No results	3.41E+06
775		C11 H19 N3 O3 S	273.11485	274.12213	10.575	[M+H]+1	Full match	No results			No results	0	No results	1.35E+07
776		C5 H2 O8 S	221.94689	220.93961	14.681	[M-H]-1	Full match	No results			No results	0	No results	5.94E+04
777		C24 H52 N9 O3 P	545.39275	546.40003	3.861	[M+H]+1	Full match	No results			No results	0	No results	1.04E+06
778		C37 H75 N O3	581.57441	582.58169	4.386	[M+H]+1	Full match	No results			No results	0	No results	5.46E+06
779		C5 H7 N9 O2	225.07258	226.07986	12.906	[M+H]+1	Full match	No results			No results	0	No results	3.06E+05
780		C10 H25 N4 O P	248.17764	247.1703	4.155	[M-H]-1	Full match	No results			No match	5	No results	3.88E+05
781		C27 H50 N2 O3	450.38186	451.38928	3.926	[M+H]+1	Full match	No results			No results	0	No results	1.56E+07
782		C14 H31 N O4	277.2254	260.22211	7.429	[M+H-H2O]+1	Full match	No results			No results	0	No results	3.85E+05
783		C24 H18 N4 O7	474.11607	236.05082	9.738	[M-2H]-2	Full match	No results			No match	2	No results	1.75E+05
784		C21 H41 N O2	339.31332	372.34679	3.894	[M+H+MeOH]+1	Full match	No results			No results	0	No results	3.27E+06
785		C15 H32 N9 O2 P	401.24073	402.24801	4.084	[M+H]+1	Full match	No results			No match	4	No results	1.44E+07
786		C6 H12 N2	112.10007	113.10734	18.417	[M+H]+1	Full match	No results			No results	0	No results	2.56E+07
787		C4 H2 N2 O	94.01675	136.0506	8.98	[M+ACN+H]+1	Full match	No results			No results	0	No results	1.25E+07
788		C5 H16 N5 O3 P	225.10026	258.13383	4.748	[M+H+MeOH]+1	Invalid mass	No results			No match	3	No results	1.24E+07
789		C23 H38 N4 O2	402.29821	401.29093	4.48	[M-H]-1	Full match	No results			No match	2	No results	1.56E+06
790		C12 H25 N O3	231.18347	232.19075	6.433	[M+H]+1	Full match	No results			No results	0	No results	3.85E+06
791		C35 H71 N O3	553.54283	554.5501	5.255	[M+H]+1	Full match	No results			No results	0	No results	4.78E+06
792		C13 H19 N5 O10	405.11188	404.1046	13.012	[M-H]-1	Full match	No results			No results	0	No results	1.41E+06
793		C7 H6	90.04696	91.05424	7.468	[M+H]+1	Full match	No results			No results	0	No results	2.65E+07
794		C17 H41 N4 O3 P	380.29007	381.29735	3.914	[M+H]+1	Full match	No results			No results	0	No results	1.22E+06
795		C11 H19 N8 P	294.14672	295.15411	4.743	[M+H]+1	Full match	No results			No match	3	No results	9.17E+06
796		C6 H15 N O6	197.09014	198.09742	12.967	[M+H]+1	Full match	No results			No results	0	No results	2.72E+06
797		C4 H14 N4 O P2	196.06379	197.07105	7.486	[M+H]+1	Full match	No results			No match	3	No results	1.15E+07
798		C8 H11 N2 P	166.06643	167.07371	7.502	[M+H]+1	Full match	No results			No results	0	No results	2.03E+07
799		C21 H44 N6 O3 S	460.3187	229.15214	3.371	[M-2H]-2	Full match	No results			No match	1	No results	8.49E+06
800		C16 H21 N4 P	300.14901	301.15646	3.381	[M+H]+1	Full match	No results			No match	1	No results	4.35E+06
801		C16 H28 N2 O3	296.2099	297.21719	4.424	[M+H]+1	Full match	No results			No results	0	No results	1.53E+07
802		C7 H21 N4 O3 P	240.13619	239.12891	3.987	[M-H]-1	Full match	No results			No results	0	No results	1.06E+07
803		C19 H35 N O3	325.26142	343.29513	4.634	[M+NH4]+1	Full match	No results			No results	0	No results	6.18E+07
804		C15 H33 N O2	259.2512	260.25848	7.418	[M+H]+1	Full match	No results			No results	0	No results	3.99E+05
805		C11 H23 N O	185.17801	186.18529	4.735	[M+H]+1	Full match	No results			No results	0	No results	8.36E+06
806		C14 H14 N4 O	254.11545	255.12276	4.753	[M+H]+1	Invalid mass	No results			No match	2	No results	1.14E+07
807		C9 H27 N7 O2 P2 S	359.14261	360.1499	13.002	[M+H]+1	Full match	No results			No results	0	No results	5.06E+06
808		C14 H22 O5	270.14678	269.13932	4.723	[M-H]-1	Full match	No results			No results	0	No results	1.58E+07
809		C17 H35 N O3	301.26151	302.26881	4.542	[M+H]+1	Full match	No results			No results	0	No results	4.20E+06
810		C14 H31 N O3	261.23055	262.23783	6.716	[M+H]+1	Full match	No results			No results	0	No results	1.39E+06
811		C13 H32 N6 O3 S	352.22472	353.23197	3.571	[M+H]+1	Full match	No results			No match	39	No results	1.44E+07
812		C25 H56 N6 O	456.45388	457.46121	3.783	[M+H]+1	Invalid mass	No results			No results	0	No results	2.81E+07
813		C16 H29 N4 P3 S	402.1316	401.12432	4.16	[M-H]-1	Full match	No results			No match	10	No results	4.39E+05
814		C6 H18 N5 O P	207.12599	208.13327	4.694	[M+H]+1	Invalid mass	No results			No match	11	No results	9.61E+05
815		C14 H33 N4 O6 P	384.21472	383.20782	3.759	[M-H]-1	Full match	No results			No match	2	No results	1.05E+07
816		C15 H28 S2	272.16246	271.15499	4.729	[M-H]-1	Full match	No results			No results	0	No results	1.59E+07
817		C18 H34 N2 O5	358.24668	357.23957	3.716	[M-H]-1	Full match	No results			No results	0	No results	2.68E+05
818		C19 H31 N O S2	353.18395	352.17667	4.669	[M-H]-1	Full match	No results			No match	2	No results	2.03E+05
819		C13 H18 O6	270.11034	269.10295	4.749	[M-H]-1	Full match	No results			No results	0	No results	7.67E+06
820		C17 H38 N2 O5 P2 S	444.19963	443.19235	3.808	[M-H]-1	Full match	No results			No match	1	No results	9.71E+05
821		C10 H23 N8 P	286.17797	285.17069	3.871	[M-H]-1	Full match	No results			No match	2	No results	2.94E+07
822		C6 H16 N6 O2 S	236.10673	254.14057	9.932	[M+NH4]+1	Invalid mass	No results			No match	2	No results	1.17E+06
823		C11 H19 N O5	245.12642	246.13369	7.511	[M+H]+1	Full match	No results			No results	0	No results	3.63E+07
824		C24 H35 N O3 P2	447.21049	448.21776	4.752	[M+H]+1	Full match	No results			No results	0	No results	2.22E+07
825		C20 H30 O10	430.18408	429.17681	9.961	[M-H]-1	Full match	No results			No results	0	No results	7.36E+06
826		C15 H27 N O S2	301.15247	302.15984	3.541	[M+H]+1	Full match	No results			No results	0	No results	1.21E+07
827		C17 H35 N O2	285.2672	286.27401	4.032	[M+H]+1	Full match	No results			No results	0	No results	1.30E+06
828		C26 H29 N8 O3 P3	594.15845	593.15167	10.047	[M-H]-1	Full match	No results			No match	29	No results	1.33E+05
829		C15 H18 N10 O2	370.16291	429.1767	4.759	[M-H+HAc]-1	Full match	No results			No results	0	No results	2.32E+07
830		C13 H13 N3 O5	291.08553	292.09283	9.911	[M+H]+1	Full match	No results			No results	0	No results	3.71E+06
831		C16 H35 N O3	289.26181	290.26908	7.426	[M+H]+1	Full match	No results			No results	0	No results	6.03E+05
832		C9 H26 N9 O6 P	387.17381	388.18109	13.011	[M+H]+1	Full match	No results			No results	0	No results	3.28E+05
833		C17 H35 N O2	285.2669	286.27405	4.583	[M+H]+1	Full match	No results			No results	0	No results	4.49E+06
834		C24 H30 N2 O6	442.21051	441.20323	3.258	[M-H]-1	Full match	No results			No results	0	No results	9.50E+05
835		C13 H27 N O3	245.19908	246.20637	4.744	[M+H]+1	Full match	No results			No results	0	No results	3.76E+05
836		C10 H24 N6 O2 S	292.16736	291.15998	4.166	[M-H]-1	Full match	No results			No match	11	No results	5.20E+05
837		C12 H24 S2	232.13126	231.12394	7.454	[M-H]-1	Full match	No results			No match	2	No results	1.60E+07
838		C22 H46 N2 O10 P2 S	592.23733	591.23005	7.487	[M-H]-1	Full match	No results			No results	0	No results	1.24E+06
839		C9 H21 N8 P	272.16224	271.15495	4.076	[M-H]-1	Full match	No results			No results	0	No results	2.85E+07
840		C20 H34 O S2	354.2042	355.21139	3.588	[M+H]+1	Full match	No results			No match	1	No results	1.10E+07
841		C9 H9 N7	215.09204	429.17682	9.719	[2M-H]-1	Full match	No results			No results	0	No results	7.82E+06
842		C12 H15 N2 P S	250.07028	251.07753	9.966	[M+H]+1	Full match	No results			No results	0	No results	5.64E+06
843		C8 H5 N O3 S	194.99925	193.99197	4.458	[M-H]-1	Full match	No results			No results	0	No results	5.25E+06
844		C28 H50 N2 O3	462.38201	463.38913	3.888	[M+H]+1	Full match	No results			No results	0	No results	2.98E+06
845		C6 H20 N5 O4 P	257.12622	258.13347	4.754	[M+H]+1	Full match	No results			No results	0	No results	1.24E+07
846		C13 H13 N5	239.1158	240.12316	4.754	[M+H]+1	Invalid mass	No results			No results	0	No results	7.53E+06
847		C8 H19 N3 O S2	237.09611	238.10334	11.901	[M+H]+1	Full match	No results			No results	0	No results	4.99E+06
848		C8 H15 N O P2	203.06197	202.0547	4.161	[M-H]-1	Full match	No results			No results	0	No results	4.36E+06
849		C7 H10 N4 O5 P2 S	323.986	322.97879	10.465	[M-H]-1	Full match	No results			No results	0	No results	1.04E+07
850		C16 H38 N9 P	387.29808	388.30538	4.047	[M+H]+1	Full match	No results			No match	2	No results	7.49E+05
851		C12 H19 O8 P	322.08018	323.08744	12.676	[M+H]+1	Full match	No results			No results	1	No results	6.33E+06
852		C11 H27 N4 O6 P	342.16798	341.16094	4.741	[M-H]-1	Full match	No results			No match	1	No results	5.72E+06
853		C16 H40 N9 P	389.31403	390.32131	3.911	[M+H]+1	Full match	No results			No results	0	No results	1.03E+06
854		C32 H36 N4 O8	604.2528	301.11914	7.483	[M-2H]-2	Full match	No results			No match	2	No results	1.15E+06
855		C39 H71 N S	585.53288	586.54018	3.764	[M+H]+1	Full match	No results			No results	0	No results	1.15E+06
856		C31 H58 N2 O2	490.44991	491.45719	3.805	[M+H]+1	Full match	No results			No results	0	No results	8.62E+06
857		C8 H21 N4 P S2	268.09464	267.0873	7.454	[M-H]-1	Full match	No results			No results	0	No results	4.53E+06
858		C9 H7 N7 O	229.07156	230.07884	7.713	[M+H]+1	Full match	No results			No results	0	No results	3.10E+05
859		C10 H29 N6 O3 P	312.20452	313.2118	3.89	[M+H]+1	Full match	No results			No match	1	No results	6.83E+05
860		C12 H2 N10	286.04769	287.05496	9.066	[M+H]+1	Full match	No results			No match	36	No results	4.08E+05
861		C22 H43 N5 O2	409.34006	410.34734	3.896	[M+H]+1	Full match	No results			No results	0	No results	6.48E+06
862		C28 H45 N O P2	473.29871	474.30599	12.174	[M+H]+1	Full match	No results			No results	0	No results	6.33E+05
863		C6 H13 Cl O6	216.04002	215.03274	11.417	[M-H]-1	Full match	No results			No match	2	No results	6.83E+05
864		C9 H20 O7	240.12085	241.12806	9.611	[M+H]+1	Full match	No results			No results	0	No results	5.56E+06
865		C7 H4 O6 S	215.97299	214.96571	14.837	[M-H]-1	Full match	No results			No results	0	No results	7.10E+06
866		C32 H45 N O8	571.3141	572.32137	4.195	[M+H]+1	Full match	No results			No results	0	No results	9.19E+05
867		C40 H63 N O7	669.45995	670.46722	3.684	[M+H]+1	Full match	No results			No results	0	No results	5.51E+05
868		C12 H23 O P S	246.1216	229.11833	7.905	[M+H-H2O]+1	Full match	No results			No match	12	No results	2.08E+07
869		C19 H34 O S2	342.20408	343.21163	3.555	[M+H]+1	Full match	No results			No match	5	No results	7.64E+06
870		C8 H9 N	119.07353	120.0808	9.99	[M+H]+1	Full match	No results			No results	0	No results	1.03E+07
871		C9 H16 S	156.09691	311.18649	3.85	[2M-H]-1	Full match	No results			No results	0	No results	8.46E+06
872		C6 H13 N O9	243.059	242.05172	12.231	[M-H]-1	Full match	No results			No results	0	No results	1.53E+05
873		C10 H19 Cl O S4	317.99992	316.99266	12.405	[M-H]-1	Full match	No results			No results	0	No results	2.09E+07
874		C8 H19 N O4	193.13161	194.13889	21.822	[M+H]+1	Full match	No results			No results	0	No results	4.13E+05
875		C19 H39 N7 S2	429.27242	430.27969	4.064	[M+H]+1	Full match	No results			No results	0	No results	7.52E+06
876		C23 H26 N10 S	474.20466	475.21192	4.033	[M+H]+1	Full match	No results			No match	1	No results	9.41E+05
877		C20 H25 Cl N2	328.17095	327.16367	3.363	[M-H]-1	Full match	No results			No match	1	No results	8.35E+05
878		C13 H12 O7	280.05818	279.05091	11.817	[M-H]-1	Full match	No results			No results	0	No results	1.47E+05
879		C26 H44 O16	612.26415	611.25765	10.82	[M-H]-1	Full match	No results			No results	0	No results	3.99E+06
880		C18 H34 O2 S2	346.19946	345.19218	4.429	[M-H]-1	Full match	No results			No match	2	No results	2.52E+07
881		C4 H14 N9 O2 P	251.10182	252.1091	7.837	[M+H]+1	Full match	No results			No match	4	No match	2.81E+06
882		C28 H43 N5	449.35037	450.3576	3.436	[M+H]+1	Full match	No results			No results	0	No results	3.44E+06
883		C30 H56 N2 O2	476.43422	477.44149	3.819	[M+H]+1	Full match	No results			No results	0	No results	1.98E+07
884		C21 H24 N4 O	348.19337	349.20065	3.618	[M+H]+1	Full match	No results			No match	15	No results	1.41E+07
885		C10 H20 N2 O5	248.13719	249.14446	7.76	[M+H]+1	Full match	No results			No results	0	No results	3.03E+05
886		C22 H47 N5 O3 P2	491.3167	492.32397	3.246	[M+H]+1	Full match	No results			No results	0	No results	1.63E+07
887		C42 H92 N9 O4 P3	879.64892	880.6562	7.508	[M+H]+1	Full match	No results			No results	0	No results	2.57E+05
888		C10 H28 N5 O3 P	297.19393	298.20122	3.712	[M+H]+1	Full match	No results			No match	2	No results	2.02E+07
889		C18 H22 N4	294.18296	295.19025	4.162	[M+H]+1	Invalid mass	No results			No match	8	No results	2.90E+07
890		C20 H22 N2 P2	352.12732	351.12004	7.464	[M-H]-1	Full match	No results			No match	1	No results	3.00E+06
891		C11 H26 N6 O2 S	306.18295	307.19026	3.566	[M+H]+1	Full match	No results			No match	5	No results	1.54E+07
892		C8 H11 N O5	201.06372	202.07102	12.28	[M+H]+1	Full match	No results			No results	0	No results	9.50E+06
893		C29 H54 N2 O2	462.4185	463.42578	3.829	[M+H]+1	Full match	No results			No results	0	No results	1.40E+07
894		C20 H32 O11	448.19465	447.1873	10.076	[M-H]-1	Full match	No results			No results	0	No results	5.01E+06
895		C28 H45 N O S2	475.29379	476.30108	3.484	[M+H]+1	Full match	No results			No match	2	No results	6.24E+06
896		C7 H15 N S2	177.06508	178.07235	8.015	[M+H]+1	Full match	No results			No match	1	No results	5.80E+06
897		C24 H34 N O7 P	479.20614	238.59579	7.474	[M-2H]-2	Full match	No results			No match	1	No results	2.13E+06
898		C12 H28 N6 O S	304.2036	305.21061	3.535	[M+H]+1	Full match	No results			No match	29	No results	4.60E+06
899		C28 H31 N O2 P2	475.18412	476.19151	3.471	[M+H]+1	Full match	No results			No match	1	No results	3.00E+05
900		C9 H18 O5	206.11562	205.10831	4.337	[M-H]-1	Full match	No results			No results	0	No results	5.75E+06
901		C5 H13 O6 P	200.04525	199.03798	6.036	[M-H]-1	Full match	No results			No results	0	No results	9.45E+05
902		C7 H10 O8	222.03771	221.03044	13.781	[M-H]-1	Full match	No results			No results	0	No results	4.81E+06
903		C14 H19 O3 P	266.10874	591.23017	7.49	[2M-H+HAc]-1	Invalid mass	No results			No match	1	No results	1.24E+06
904		C14 H25 P3	286.11655	287.12383	10.565	[M+H]+1	Full match	No results			No results	0	No results	3.84E+05
905		C16 H33 N O5	319.23576	320.24314	3.466	[M+H]+1	Full match	No results			No results	0	No results	4.57E+06
906		C20 H32 O12	464.18933	463.18205	11.952	[M-H]-1	Full match	No results			No results	0	No results	4.49E+06
907		C15 H36 N6 O P2	378.24049	379.24784	3.57	[M+H]+1	Invalid mass	No results			No match	5	No results	8.07E+06
908		C16 H31 Cl N4 O3	362.20931	363.21656	3.606	[M+H]+1	Full match	No results			No match	17	No results	8.44E+06
909		C15 H11 N O	221.08416	220.07688	3.586	[M-H]-1	Full match	No results			No results	0	No results	8.18E+06
910		C9 H27 N7 O2 P2 S	359.14269	360.14996	13.624	[M+H]+1	Full match	No results			No results	0	No results	3.74E+06
911		C12 H30 N6 O3 S	338.20923	339.21656	3.478	[M+H]+1	Full match	No results			No match	8	No results	9.75E+06
912		C10 H13 N O S2	227.04319	226.03591	11.451	[M-H]-1	Full match	No results			No match	11	No results	2.74E+06
913		C9 H17 N4 O2 P S	276.08217	277.08945	12.14	[M+H]+1	Full match	No results			No match	1	No results	9.49E+05
914		C14 H26 N2 O3	270.19446	271.20174	10.859	[M+H]+1	Full match	No results			No results	0	No results	4.77E+05
915		C13 H21 N4 O2 P	296.14137	297.14864	0.581	[M+H]+1	Full match	No results			No match	8	No results	2.66E+06
916		C23 H46 N5 O13 P S	663.25298	664.26026	10.243	[M+H]+1	Full match	No results			No results	0	No results	7.30E+06
917		C12 H22 Cl N O S4	359.02627	360.03355	12.39	[M+H]+1	Full match	No results			No results	0	No results	1.22E+07
918		C33 H74 N10 O2	642.59838	643.60565	5.389	[M+H]+1	Full match	No results			No results	0	No results	4.06E+06
919		C11 H25 N7 P2 S	349.13707	350.14435	7.755	[M+H]+1	Full match	No results			No results	0	No results	4.44E+05
920		C11 H25 N O	187.19364	188.20091	14.032	[M+H]+1	Full match	No results			No results	0	No results	8.39E+05
921		C14 H20 N10 O2	360.17878	359.17148	4.751	[M-H]-1	Full match	No results			No match	1	No results	5.48E+06
922		C18 H41 N4 O10 P	504.2569	503.24962	4.72	[M-H]-1	Full match	No results			No results	0	No results	2.33E+05
923		C14 H34 N5 O9 P	447.21035	448.21762	10.209	[M+H]+1	Full match	No results			No results	0	No results	2.95E+07
924		C31 H71 N10 O2 P	646.55022	647.5575	5.449	[M+H]+1	Full match	No results			No results	0	No results	3.52E+06
925		C13 H14 O7	282.07429	563.14136	11.848	[2M-H]-1	Full match	No results			No results	0	No results	1.74E+05
926		C28 H52 N2 O2	448.40262	449.4099	3.839	[M+H]+1	Full match	No results			No results	0	No results	9.15E+06
927		C16 H24 S2	280.13269	281.13996	9.916	[M+H]+1	Full match	No results			No match	1	No results	9.11E+05
928		C14 H20 O9	332.11069	331.10373	7.769	[M-H]-1	Full match	No results			No results	0	No results	2.05E+05
929		C15 H28 O2 S2	304.15233	303.14505	4.109	[M-H]-1	Full match	No results			No results	0	No results	7.32E+06
930		C7 H20 N5 O P	221.14138	222.14866	9.929	[M+H]+1	Full match	No results			No match	7	No results	1.81E+06
931		C27 H67 N10 O P	578.52575	579.53303	5.367	[M+H]+1	Full match	No results			No results	0	No results	2.14E+06
932		C17 H26 O P2	308.14717	307.13988	4.76	[M-H]-1	Full match	No results			No results	0	No results	1.21E+06
933		C31 H63 N7 O9	677.46964	678.47692	3.839	[M+H]+1	Full match	No results			No results	0	No results	8.56E+05
934		C20 H30 N10 O4	474.24636	473.23908	12.213	[M-H]-1	Full match	No results			No results	0	No results	1.46E+05
935		C9 H10 N3 O2 P	223.05149	224.05876	5.957	[M+H]+1	Full match	No results			No match	2	No results	1.56E+05
936		C53 H41 N O S2	771.26406	772.27134	3.767	[M+H]+1	Full match	No results			No results	0	No results	6.75E+06
937		C10 H18 N4 O2	226.14296	227.15023	8.948	[M+H]+1	Full match	No results			No results	0	No results	8.67E+05
938		C15 H11 N	205.08937	204.08209	3.558	[M-H]-1	Full match	No results			No match	1	No results	6.80E+06
939		C7 H12 O7	208.05861	207.05131	12.476	[M-H]-1	Full match	No results			No match	3	No results	2.78E+06
940		C8 H11 N2 O P	182.06136	183.06865	9.813	[M+H]+1	Full match	No results			No match	1	No results	1.42E+06
941		C13 H29 N4 O3 P	320.19847	321.20577	3.59	[M+H]+1	Full match	No results			No match	14	No results	8.88E+06
942		C12 H22 N4 O2	254.17426	253.16696	7.513	[M-H]-1	Full match	No results			No results	0	No results	1.88E+05
943		C15 H20 N4 O3	304.1522	303.145	4.739	[M-H]-1	Full match	No results			No results	0	No results	1.02E+07
944		C26 H51 N O5	457.37688	458.384	3.413	[M+H]+1	Full match	No results			No results	0	No results	1.18E+06
945		C12 H10 N10 O3	342.09533	341.08805	12.213	[M-H]-1	Full match	No results			No match	3	No results	1.24E+05
946		C7 H9 N O5 S	219.02022	218.01292	12.717	[M-H]-1	Full match	No results			No results	0	No results	3.04E+06
947		C11 H8 N6 O4	288.05934	287.05207	10.837	[M-H]-1	Full match	No results			No match	1	No match	4.22E+06
948		C9 H18 O4 S2	254.06369	253.05641	12.826	[M-H]-1	Full match	No results			No results	0	No results	4.69E+05
949		C6 H13 N9 O2 S	275.09067	276.09793	9.419	[M+H]+1	Full match	No results			No match	1	No results	3.22E+07
950		C18 H24 N4 O5	376.17374	375.16661	4.746	[M-H]-1	Full match	No results			No results	0	No results	2.84E+06
951		C18 H31 N O5	341.22027	342.22755	7.492	[M+H]+1	Full match	No results			No results	0	No results	7.37E+06
952		C13 H12 O7	280.0582	279.05092	12.269	[M-H]-1	Full match	No results			No results	0	No results	1.98E+05
953		C5 H15 N P2	151.0684	361.15057	4.751	[2M-H+HAc]-1	Full match	No results			No results	0	No results	2.41E+06
954		C10 H18 O8	266.10004	265.09277	9.956	[M-H]-1	Full match	No results			No results	0	No results	2.87E+06
955		C9 H11 Cl3 N4 O	295.99868	294.99137	11.222	[M-H]-1	Full match	No results			No results	0	No results	1.03E+06
956		C21 H34 O5 S2	430.18408	429.17681	9.681	[M-H]-1	Full match	No results			No results	0	No results	7.82E+06
957		C15 H42 N8 O4 P2	460.28276	461.29001	3.584	[M+H]+1	Invalid mass	No results			No match	2	No results	1.60E+06
958		C3 H10 N9 O3 P	251.06412	250.05685	7.459	[M-H]-1	Full match	No results			No results	0	No results	9.70E+05
959		C21 H16 N4 S	356.11085	401.10885	7.475	[M+FA-H]-1	Full match	No results			No match	5	No results	3.97E+05
960		C8 H21 N O2 P2	225.10518	449.203	9.853	[2M-H]-1	Full match	No results			No results	0	No results	2.40E+06
961		C6 H4 O4 S	171.98336	170.97608	14.843	[M-H]-1	Full match	No results			No results	0	No results	3.39E+06
962		C8 H21 N O2 P2	225.10518	449.20303	4.751	[2M-H]-1	Full match	No results			No results	0	No results	1.64E+06
963		C14 H33 N4 O2 P	320.23496	321.24223	3.494	[M+H]+1	Full match	No results			No match	54	No results	4.52E+06
964		C7 H18 N6 O2 S	250.12047	249.11317	10.231	[M-H]-1	Full match	No results			No match	11	No results	3.03E+06
965		C10 H23 N O2	189.17284	190.18011	7.696	[M+H]+1	Full match	No results			No results	0	No results	3.90E+05
966		C12 H15 N S2	237.06373	236.05645	10.578	[M-H]-1	Full match	No results			No match	2	No results	1.28E+05
967		C17 H18 N4 O3	326.1368	325.12956	4.746	[M-H]-1	Full match	No results			No match	3	No results	2.43E+06
968		C11 H26 Br N7 S	367.11624	366.10896	12.222	[M-H]-1	Full match	No results			No results	0	No results	1.20E+05
969		C18 H26 S2	306.14661	307.1541	4.03	[M+H]+1	Full match	No results			No match	24	No results	1.05E+06
970		C18 H20 P2	298.10524	297.09796	4.531	[M-H]-1	Full match	No results			No match	4	No results	3.65E+06
971		C6 H17 N8 O2 P	264.1209	263.11357	7.458	[M-H]-1	Full match	No results			No results	0	No results	5.10E+06
972		C24 H57 N6 O2 P	492.42904	493.43656	3.859	[M+H]+1	Full match	No results			No results	0	No results	3.23E+06
973		C11 H23 Cl O4 S2	318.07194	317.06466	11.324	[M-H]-1	Full match	No results			No match	2	No results	2.23E+05
974		C3 H2 N4 O5 P2 S	267.92315	266.91588	14.418	[M-H]-1	Full match	No results			No results	0	No results	2.23E+06
975		C7 H4 O6 S	215.97302	214.96574	16.132	[M-H]-1	Full match	No results			No results	0	No results	1.51E+06
976		C4 H13 N8 O P	220.09474	219.08747	12.136	[M-H]-1	Full match	No results			No results	0	No results	3.92E+06
977		C6 H2 O3 S3	217.91678	216.9095	14.728	[M-H]-1	Full match	No results			No results	0	No results	1.13E+06
978		C11 H30 Br N7 P2	401.12206	400.11478	7.325	[M-H]-1	Full match	No results			No results	0	No results	3.46E+05
979		C24 H38 P2	388.24628	387.23901	3.821	[M-H]-1	Full match	No results			No match	1	No results	2.40E+06
980		C21 H44 N6 O4 S	476.3139	477.32133	3.517	[M+H]+1	Full match	No results			No match	1	No results	6.28E+06
981		C4 H11 N8 P	202.08378	203.09106	12.808	[M+H]+1	Full match	No results			No match	2	No results	1.23E+06
982		C12 H18 N6 O4 S	342.11006	360.14385	3.683	[M+NH4]+1	Full match	No results			No match	12	No results	2.65E+05
983		C33 H78 N9 O5 P S	743.55582	744.56193	3.361	[M+H]+1	Full match	No results			No results	0	No results	2.82E+06
984		C6 H19 N8 P	234.14664	235.15387	4.168	[M+H]+1	Full match	No results			No results	0	No results	1.46E+06
985		C9 H18 O10 S	318.06218	317.0549	12.732	[M-H]-1	Full match	No results			No results	0	No results	1.00E+05
986		C57 H48 N4 O4	852.3684	853.37567	3.658	[M+H]+1	Full match	No results			No results	0	No results	3.58E+05
987		C8 H7 N O6	213.02782	212.02054	13.367	[M-H]-1	Full match	No results			No results	0	No results	3.35E+05
988		C8 H12 N2 O6	232.06964	231.06236	9.193	[M-H]-1	Full match	No results			No results	0	No results	3.64E+06
989		C29 H48 P2	458.32461	457.3173	3.344	[M-H]-1	Full match	No results			No results	0	No results	7.84E+05
990		C10 H3 O6 P S	281.93893	280.93166	13.026	[M-H]-1	Full match	No results			No results	0	No results	2.50E+06
991		C18 H28 N10 O S2	464.18949	463.18222	10.899	[M-H]-1	Full match	No results			No results	0	No results	5.31E+06
992		C17 H32 S2	300.19383	299.18655	4.023	[M-H]-1	Full match	No results			No results	0	No results	6.47E+06
993		C6 H17 N2 O P	164.10716	228.12309	7.284	[M+ACN+Na]+1	Full match	No results			No results	0	No results	2.15E+07
994		C7 H20 N6 O3	236.15951	235.15213	3.334	[M-H]-1	Full match	No results			No match	3	No results	2.02E+07
995		C7 H15 N S2	177.06402	176.05674	11.5	[M-H]-1	Full match	No results			No match	3	No results	2.08E+06
996		C9 H15 N3 O10	325.07485	649.14252	10.47	[2M-H]-1	Full match	No results			No match	1	No results	1.77E+05
997		C18 H39 N O4	333.2877	334.29498	3.513	[M+H]+1	Full match	No results			No results	0	No results	6.37E+06
998		C16 H35 N O8 S2	433.17958	434.18686	13.174	[M+H]+1	Full match	No results			No results	0	No results	2.63E+05
999		C17 H38 Br N3 O	379.22006	380.22733	3.996	[M+H]+1	Full match	No results			No results	0	No results	2.59E+05
